"Player","RacePoints","PlacePoints","PenaltyPoints","Total","MatchId"
"Pony",27,8,0,35,1
"Tom",28,12,0,40,1
"Wahmaster",23,4,0,27,1
"Hattok",18,0,0,18,1
"David",26,4,0,30,2
"Wahmaster",31,12,0,43,2
"Pony",27,8,0,35,2
"Andrew",12,0,0,12,2
"Dan",36,12,0,48,3
"Justase",22,8,0,30,3
"GG",21,4,0,25,3
"Grey",17,0,0,17,3
"Pony",19,4,0,23,4
"Andrew",23,8,0,31,4
"Cheech",36,12,0,48,4
"Fome",18,0,0,18,4
"Pony",23,2,0,25,5
"Andrew",23,2,0,25,5
"Wahmaster",25,10,0,35,5
"GG",25,10,0,35,5
"Simon",39,12,0,51,6
"Tom",28,8,0,36,6
"Justase",15,4,0,19,6
"iMath",14,0,0,14,6
"Pokermon",24,6,0,30,7
"Tom",23,0,0,23,7
"Grey",24,6,0,30,7
"Zoki",25,12,0,37,7
"Pony",22,4,0,26,8
"Kenshin",28,10,0,38,8
"Andrew",18,0,0,18,8
"Wahmaster",28,10,0,38,8
"Simon",33,12,0,45,9
"Yale",24,8,0,32,9
"Hattok",22,4,0,26,9
"GG",17,0,0,17,9
"Pokermon",26,4,0,30,10
"Tom",29,8,0,37,10
"Zoki",30,12,0,42,10
"Grey",11,0,0,11,10
"Pony",33,12,0,45,11
"Infa",25,8,0,33,11
"Andrew",24,4,0,28,11
"Fome",14,0,0,14,11
"Yale",33,12,0,45,12
"Dan",31,8,0,39,12
"Kyle",28,4,0,32,12
"iMath",4,0,0,4,12
"Pokermon",27,6,0,33,13
"Tom",27,6,0,33,13
"Zoki",14,0,0,14,13
"Grey",28,12,0,40,13
"Itachi",31,8,0,39,14
"Pony",20,4,0,24,14
"Andrew",11,0,0,11,14
"Cheech",34,12,0,46,14
"Tom",28,12,0,40,15
"Cheech",25,8,0,33,15
"Hattok",23,4,0,27,15
"Dan",20,0,0,20,15
"Grey",13,4,0,17,16
"Cheech",28,8,0,36,16
"Yale",12,0,0,12,16
"Simon",42,12,0,54,16
"Pony",18,4,0,22,17
"Cheech",35,12,0,47,17
"Andrew",9,0,0,9,17
"Simon",34,8,0,42,17
"Simon",40,12,0,52,18
"Dan",25,8,0,33,18
"Pokermon",24,4,0,28,18
"Aria",7,0,0,7,18
"Kenshin",28,8,0,36,19
"Tom",31,12,0,43,19
"Kazn",18,0,0,18,19
"Grey",19,4,0,23,19
"Andrew",24,8,0,32,20
"Weegee",12,0,0,12,20
"Nico",19,4,0,23,20
"Cheech",35,12,0,47,20
"Hattok",32,12,0,44,21
"Justase",30,8,0,38,21
"Kyle",25,4,0,29,21
"Aria",9,0,0,9,21
"Pokermon",22,4,0,26,22
"Tom",27,8,0,35,22
"Zoki",37,12,0,49,22
"Andrew",10,0,0,10,22
"Pony",30,10,0,40,23
"Hattok",18,2,0,20,23
"Grey",18,2,0,20,23
"Justase",30,10,0,40,23
"Cheech",33,10,0,43,24
"Yale",33,10,0,43,24
"Justase",21,4,0,25,24
"Pokermon",9,0,0,9,24
"Pokermon",26,4,0,30,25
"Zoki",32,12,0,44,25
"Tom",31,8,0,39,25
"Andrew",7,0,0,7,25
"Pony",25,8,0,33,26
"Yale",27,12,0,39,26
"Grey",21,0,0,21,26
"Hattok",23,4,0,27,26
"Yale",37,12,0,49,27
"Tom",33,8,0,41,27
"Grey",16,4,0,20,27
"Aria",10,0,0,10,27
"Pokermon",24,6,0,30,28
"Tom",24,6,0,30,28
"Zoki",33,12,0,45,28
"Grey",15,0,0,15,28
"Pony",30,12,0,42,29
"Yale",29,8,0,37,29
"Grey",11,0,0,11,29
"Hattok",26,4,0,30,29
"Pokermon",30,12,0,42,30
"Grey",26,8,0,34,30
"Hattok",24,4,0,28,30
"iMath",16,0,0,16,30
"Pokermon",27,8,0,35,31
"Cheech",39,12,0,51,31
"Grey",11,0,0,11,31
"Hattok",19,4,0,23,31
"Cheech",34,12,0,46,32
"GG",30,8,0,38,32
"Aria",20,4,0,24,32
"iMath",12,0,0,12,32
"Pokermon",15,0,0,15,33
"Tom",30,12,0,42,33
"Zoki",25,4,0,29,33
"Yale",26,8,0,34,33
"Glass",12,0,0,12,34
"Andrew",23,8,0,31,34
"Grey",19,4,0,23,34
"justase",42,12,0,54,34
"Simon",39,12,0,51,35
"Cheech",27,8,0,35,35
"Grey",17,4,0,21,35
"Kyle",13,0,0,13,35
"Glass",13,4,0,17,36
"Wahmaster",36,12,0,48,36
"LRXC",12,0,0,12,36
